id,ZCTA5CE10,AFFGEOID10,GEOID10,ALAND10,AWATER10,geometry
10,11209,8600000US11209,11209,5496342,0,"POLYGON ((-74.042412 40.624847, -74.0395755857775 40.6333555467857, -74.03876862940801 40.6357762179167, -74.038336 40.637074, -74.03679799999999 40.639381, -74.026039 40.635741, -74.016048 40.631033, -74.019705 40.62218499999999, -74.025729 40.616049, -74.02754999999999 40.612925, -74.026674 40.612995, -74.025266 40.615524, -74.022789 40.614596, -74.02477499999999 40.609676, -74.026298 40.608039, -74.024187 40.606803, -74.0248 40.606081, -74.023602 40.605613, -74.021502 40.607828, -74.018388 40.606907, -74.01701899999999 40.607655, -74.01549899999999 40.606842, -74.0195713040511 40.6027150966466, -74.021331 40.603272, -74.0267751399744 40.6042371612374, -74.027547 40.604374, -74.031384 40.605201, -74.0363843681629 40.6099131431883, -74.03958999999999 40.612934, -74.03993505959239 40.6143906601431, -74.042412 40.624847))"
11,11360,8600000US11360,11360,3609051,0,"POLYGON ((-73.79494 40.786275, -73.790705 40.788225, -73.79265699999999 40.790521, -73.78317899999999 40.790866, -73.782388 40.791376, -73.781205 40.78958799999999, -73.77413890972539 40.7863202798795, -73.774334 40.786216, -73.7740787591547 40.7859694239389, -73.7675451454684 40.7796576099919, -73.76744099999999 40.779557, -73.7670348596146 40.77848043955719, -73.76554 40.774518, -73.7635021041273 40.7728644105616, -73.765452 40.77358, -73.769842 40.77261, -73.771581 40.774306, -73.773838 40.773846, -73.77348599999999 40.772306, -73.774475 40.772102, -73.77481399999999 40.773673, -73.778858 40.772799, -73.789309 40.769708, -73.791635 40.774239, -73.79035 40.774573, -73.793356 40.781704, -73.794116 40.786097, -73.79494 40.786275))"
12,10026,8600000US10026,10026,860743,0,"MULTIPOLYGON (((-73.958249 40.803107, -73.95818199999999 40.805597, -73.956806 40.80754599999999, -73.95350000000001 40.806981, -73.944667 40.80313, -73.946462 40.800665, -73.94922 40.79691, -73.958195 40.800553, -73.95964699999999 40.801156, -73.958249 40.803107)), ((-73.962008 40.805509, -73.96007399999999 40.804706, -73.960319 40.803992, -73.962475 40.804886, -73.962008 40.805509)))"
13,11373,8600000US11373,11373,3942312,0,"POLYGON ((-73.890698 40.742261, -73.890716 40.743128, -73.89139299999999 40.746648, -73.890501 40.746942, -73.86942499999999 40.749157, -73.869192 40.748763, -73.87001599999999 40.748472, -73.868679 40.746194, -73.86826499999999 40.746314, -73.86790999999999 40.744934, -73.86756299999999 40.740942, -73.86648 40.738211, -73.86493 40.736895, -73.86461799999999 40.734271, -73.86903699999999 40.732849, -73.86826099999999 40.732486, -73.87142899999999 40.729248, -73.87475499999999 40.730542, -73.88011899999999 40.72859, -73.88393099999999 40.728538, -73.88561199999999 40.728342, -73.88720499999999 40.727869, -73.887198 40.728184, -73.88806 40.730087, -73.888566 40.734592, -73.88936199999999 40.735838, -73.891369 40.736061, -73.888802 40.736531, -73.891746 40.742138, -73.890698 40.742261))"
14,11355,8600000US11355,11355,4494259,0,"POLYGON ((-73.83791699999999 40.754541, -73.82974 40.758749, -73.816093 40.762524, -73.8126 40.763153, -73.807514 40.762179, -73.809135 40.750269, -73.807506 40.750137, -73.814162 40.746139, -73.81430899999999 40.742974, -73.81013299999999 40.742295, -73.80941399999999 40.738603, -73.813222 40.73876, -73.815057 40.738987, -73.815128 40.739922, -73.81653 40.739601, -73.821201 40.740921, -73.82498 40.743106, -73.827083 40.742642, -73.835925 40.74350099999999, -73.83462899999999 40.746896, -73.83300299999999 40.747834, -73.832295 40.751942, -73.83560199999999 40.751395, -73.83791699999999 40.754541))"
15,11235,8600000US11235,11235,5812674,495753,"POLYGON ((-73.970725 40.583192, -73.96677699999999 40.583904, -73.96661399999999 40.584575, -73.96914699999999 40.58487299999999, -73.96633 40.585896, -73.96796999999999 40.588631, -73.96564099999999 40.588888, -73.96512899999999 40.591108, -73.96068 40.591598, -73.95899799999999 40.591784, -73.93301099999999 40.594639, -73.930246 40.594379, -73.929861 40.59372, -73.930881 40.591383, -73.930734 40.589631, -73.927967 40.58876, -73.927922 40.587503, -73.92594799999999 40.585007, -73.931369 40.586071, -73.93009599999999 40.584502, -73.931842 40.583076, -73.931946 40.58202199999999, -73.932502 40.581159, -73.931116 40.576117, -73.93164398331849 40.5756736521711, -73.93155899999999 40.575962, -73.937665 40.575434, -73.94629499999999 40.5756, -73.9524802181286 40.57484013551949, -73.955721 40.574442, -73.95942223594291 40.5740168643515, -73.959414 40.57515799999999, -73.96675399999999 40.574833, -73.96992 40.57558299999999, -73.969133 40.580048, -73.967602 40.580362, -73.96733499999999 40.581515, -73.97113399999999 40.582019, -73.970725 40.583192))"
16,10459,8600000US10459,10459,2124313,0,"POLYGON ((-73.90266799999999 40.820803, -73.901988 40.82244, -73.90054099999999 40.825944, -73.89979699999999 40.827685, -73.898842 40.831751, -73.89636899999999 40.83351, -73.89419099999999 40.833291, -73.894156 40.834982, -73.89312799999999 40.833422, -73.885239 40.83049099999999, -73.88474099999999 40.832341, -73.882222 40.835463, -73.879983 40.83468, -73.883578 40.829511, -73.883557 40.828938, -73.884531 40.825647, -73.884411 40.82297, -73.88741 40.822537, -73.88797 40.82226, -73.890452 40.820643, -73.895428 40.815845, -73.90002299999999 40.81859499999999, -73.902107 40.81850499999999, -73.90299 40.820027, -73.90266799999999 40.820803))"
17,10032,8600000US10032,10032,1695753,0,"POLYGON ((-73.95027899999999 40.834326, -73.947721 40.841448, -73.946049 40.84458, -73.94681299999999 40.846828, -73.94670099999999 40.847673, -73.94700499999999 40.850459, -73.94318699999999 40.84975499999999, -73.94488199999999 40.844959, -73.944467 40.845762, -73.940241 40.846048, -73.93885499999999 40.844679, -73.93467099999999 40.842958, -73.93562799999999 40.841279, -73.935079 40.839267, -73.93793599999999 40.834458, -73.940309 40.831711, -73.94034599999999 40.830458, -73.940167 40.830383, -73.94107799999999 40.829083, -73.949714 40.832697, -73.949342 40.833982, -73.95027899999999 40.834326))"
18,11429,8600000US11429,11429,3351015,0,"POLYGON ((-73.75408 40.711841, -73.75318399999999 40.712055, -73.753708 40.713325, -73.735382 40.717706, -73.735304 40.718498, -73.732162 40.720049, -73.72966099999999 40.720483, -73.729176 40.719167, -73.72697099999999 40.710715, -73.726895 40.7058, -73.72776399999999 40.705793, -73.727707 40.701565, -73.732354 40.702419, -73.73823299999999 40.701885, -73.74309099999999 40.702397, -73.743307 40.70296, -73.748643 40.701587, -73.75047099999999 40.70564, -73.75246 40.710317, -73.753356 40.710101, -73.75408 40.711841))"
19,11223,8600000US11223,11223,5370771,0,"POLYGON ((-73.98725499999999 40.607245, -73.974031 40.608702, -73.972994 40.608814, -73.96429599999999 40.609777, -73.96238 40.609986, -73.961732 40.605358, -73.959777 40.59629899999999, -73.960888 40.594365, -73.959468 40.594566, -73.95899799999999 40.591784, -73.96068 40.591598, -73.96512899999999 40.591108, -73.96564099999999 40.588888, -73.96796999999999 40.588631, -73.96633 40.585896, -73.96914699999999 40.58487299999999, -73.96661399999999 40.584575, -73.967815 40.584539, -73.969087 40.584001, -73.977504 40.582784, -73.982812 40.583792, -73.98464 40.593552, -73.984678 40.593659, -73.98747999999999 40.604539, -73.98725499999999 40.607245))"
